listing_id,year_month,reviews
3781,2015-07-01,1
3781,2015-08-01,1
3781,2015-09-01,2
3781,2015-10-01,1
3781,2016-02-01,1
3781,2016-04-01,1
3781,2016-08-01,1
3781,2016-09-01,1
3781,2017-02-01,1
3781,2017-05-01,1
3781,2017-08-01,1
3781,2017-09-01,1
3781,2018-07-01,1
3781,2019-02-01,1
3781,2019-12-01,1
3781,2020-09-01,1
3781,2020-12-01,1
3781,2021-02-01,1
3781,2021-04-01,1
3781,2021-07-01,1
3781,2022-01-01,1
3781,2022-05-01,1
3781,2022-09-01,1
3781,2023-12-01,1
3781,2024-08-01,1
5506,2009-03-01,1
5506,2009-09-01,1
5506,2009-11-01,1
5506,2010-01-01,1
5506,2010-02-01,2
5506,2010-03-01,1
5506,2010-05-01,2
5506,2010-09-01,1
5506,2010-10-01,1
5506,2010-11-01,2
5506,2011-02-01,1
5506,2011-03-01,1
5506,2011-04-01,1
5506,2011-08-01,2
5506,2011-09-01,1
5506,2011-10-01,3
5506,2011-11-01,1
5506,2012-01-01,1
5506,2012-02-01,1
5506,2012-05-01,1
5506,2014-04-01,1
5506,2014-09-01,2
5506,2015-05-01,1
5506,2015-06-01,1
5506,2015-11-01,1
5506,2016-02-01,1
5506,2016-04-01,1
5506,2016-06-01,1
5506,2016-09-01,1
5506,2016-11-01,1
5506,2017-05-01,2
5506,2017-06-01,1
5506,2017-07-01,2
5506,2017-08-01,3
5506,2017-09-01,1
5506,2017-11-01,2
5506,2017-12-01,1
5506,2018-01-01,2
5506,2018-03-01,4
5506,2018-04-01,3
5506,2018-05-01,1
5506,2018-06-01,3
5506,2018-07-01,3
5506,2018-08-01,3
5506,2018-09-01,3
5506,2018-10-01,4
5506,2018-11-01,4
5506,2019-02-01,1
5506,2019-03-01,2
5506,2019-04-01,2
5506,2019-05-01,4
5506,2019-06-01,5
5506,2019-07-01,3
5506,2019-08-01,3
5506,2019-09-01,3
5506,2019-10-01,3
5506,2020-05-01,1
5506,2021-07-01,1
5506,2021-10-01,2
5506,2022-06-01,2
5506,2022-07-01,1
5506,2022-09-01,2
5506,2022-10-01,1
5506,2022-11-01,1
5506,2022-12-01,1
5506,2023-08-01,1
5506,2023-09-01,1
5506,2023-10-01,1
5506,2023-11-01,1
5506,2024-04-01,1
5506,2024-06-01,3
5506,2024-08-01,2
5506,2024-09-01,2
5506,2024-10-01,2
5506,2025-03-01,2
5506,2025-04-01,1
5506,2025-05-01,1
5506,2025-06-01,1
5506,2025-07-01,2
6695,2009-08-01,2
6695,2009-09-01,1
6695,2009-12-01,1
6695,2010-02-01,1
6695,2010-05-01,3
6695,2011-06-01,2
6695,2011-11-01,2
6695,2012-01-01,1
6695,2012-03-01,2
6695,2012-06-01,1
6695,2012-07-01,1
6695,2012-10-01,2
6695,2013-05-01,2
6695,2013-06-01,1
6695,2013-08-01,2
6695,2013-09-01,1
6695,2013-10-01,1
6695,2013-12-01,1
6695,2014-01-01,2
6695,2014-04-01,1
6695,2014-05-01,2
6695,2014-06-01,1
6695,2014-07-01,1
6695,2014-08-01,2
6695,2014-09-01,3
6695,2014-10-01,2
